Občina,Spol,Polletje,Starostne skupine - SKUPAJ,0-4 let,5-9 let,10-14 let,15-19 let,20-24 let,25-29 let,30-34 let,35-39 let,40-44 let,45-49 let,50-54 let,55-59 let,60-64 let,65-69 let,70-74 let,75-79 let,80-84 let,85-89 let,90-94 let,95-99 let,100 + let
001,0,2025H2,19866,1009,1109,1201,1039,959,998,1158,1318,1314,1491,1391,1326,1303,1248,1163,815,461,367,168,24,4
001,1,2025H2,10036,533,556,619,563,483,485,578,676,717,793,734,684,665,629,570,381,189,135,39,6,1
001,2,2025H2,9830,476,553,582,476,476,513,580,642,597,698,657,642,638,619,593,434,272,232,129,18,3
002,0,2025H2,8138,335,372,367,405,389,420,450,515,538,605,636,628,615,564,503,334,280,121,50,9,2
002,1,2025H2,4080,183,209,189,209,196,220,239,260,288,313,319,326,297,290,235,148,94,44,16,4,1
002,2,2025H2,4058,152,163,178,196,193,200,211,255,250,292,317,302,318,274,268,186,186,77,34,5,1
003,0,2025H2,7797,284,321,405,346,319,364,353,467,485,595,560,562,557,517,576,445,340,188,87,20,6
003,1,2025H2,3823,166,171,209,198,161,184,179,253,246,296,299,272,284,241,249,184,132,71,23,5,0
003,2,2025H2,3974,118,150,196,148,158,180,174,214,239,299,261,290,273,276,327,261,208,117,64,15,6
004,0,2025H2,5203,223,225,254,254,233,242,275,300,321,362,390,369,382,373,336,294,170,112,68,17,3
004,1,2025H2,2617,112,110,142,134,122,124,143,163,164,184,208,190,210,179,158,136,71,42,20,5,0
004,2,2025H2,2586,111,115,112,120,111,118,132,137,157,178,182,179,172,194,178,158,99,70,48,12,3
005,0,2025H2,4549,193,287,294,237,208,210,267,328,354,336,284,296,299,306,256,163,104,87,32,8,0
005,1,2025H2,2290,98,143,149,141,112,103,128,185,179,175,133,147,145,150,136,78,44,35,8,1,0
005,2,2025H2,2259,95,144,145,96,96,107,139,143,175,161,151,149,154,156,120,85,60,52,24,7,0
006,0,2025H2,3017,93,91,118,131,113,114,159,178,189,211,192,229,251,258,237,180,135,96,32,8,2
006,1,2025H2,1485,57,43,55,64,60,58,74,88,99,108,101,118,129,132,120,81,53,40,5,0,0
006,2,2025H2,1532,36,48,63,67,53,56,85,90,90,103,91,111,122,126,117,99,82,56,27,8,2
007,0,2025H2,5577,223,275,271,272,227,267,266,346,395,427,408,410,398,395,390,258,137,130,64,17,1
007,1,2025H2,2766,109,140,136,130,111,134,146,190,201,211,226,199,188,196,199,116,59,51,19,5,0
007,2,2025H2,2811,114,135,135,142,116,133,120,156,194,216,182,211,210,199,191,142,78,79,45,12,1
008,0,2025H2,12917,576,702,829,827,657,692,656,793,921,1038,956,932,875,651,656,456,337,240,102,20,1
008,1,2025H2,6382,301,371,434,386,327,389,323,397,453,517,496,457,454,312,305,214,131,79,32,4,0
008,2,2025H2,6535,275,331,395,441,330,303,333,396,468,521,460,475,421,339,351,242,206,161,70,16,1
009,0,2025H2,24015,943,1082,1195,1154,1096,1106,1251,1497,1641,1810,1790,1693,1804,1663,1633,1187,717,517,198,35,3
009,1,2025H2,11986,514,569,619,589,572,574,677,800,870,941,922,845,914,778,762,545,272,171,45,7,0
009,2,2025H2,12029,429,513,576,565,524,532,574,697,771,869,868,848,890,885,871,642,445,346,153,28,3
010,0,2025H2,4021,151,169,182,203,197,192,218,229,250,324,332,330,310,290,244,184,112,61,35,7,1
010,1,2025H2,2006,92,89,90,98,96,101,109,115,128,162,177,182,157,135,116,83,45,18,9,3,1
010,2,2025H2,2015,59,80,92,105,101,91,109,114,122,162,155,148,153,155,128,101,67,43,26,4,0
011,0,2025H2,47555,1866,2025,2545,2417,2072,2273,2430,3058,3484,3868,3360,3291,3450,3212,2937,2105,1619,985,426,119,13
011,1,2025H2,23363,963,1009,1286,1232,1058,1246,1265,1589,1809,2060,1755,1639,1656,1470,1329,878,612,352,128,22,5
011,2,2025H2,24192,903,1016,1259,1185,1014,1027,1165,1469,1675,1808,1605,1652,1794,1742,1608,1227,1007,633,298,97,8
012,0,2025H2,7752,392,415,468,462,418,439,431,500,547,574,576,578,489,421,361,255,214,149,52,10,1
012,1,2025H2,3866,194,205,260,244,220,215,219,248,279,287,291,304,244,203,169,115,90,57,17,4,1
012,2,2025H2,3886,198,210,208,218,198,224,212,252,268,287,285,274,245,218,192,140,124,92,35,6,0
013,0,2025H2,11679,528,593,665,637,525,589,697,781,794,824,828,833,837,773,610,455,310,275,96,28,1
013,1,2025H2,5948,273,338,324,311,275,298,353,440,437,419,432,447,423,399,304,221,116,99,31,8,0
013,2,2025H2,5731,255,255,341,326,250,291,344,341,357,405,396,386,414,374,306,234,194,176,65,20,1
014,0,2025H2,4639,200,234,228,243,198,220,264,267,298,335,292,333,337,331,344,238,127,105,31,13,1
014,1,2025H2,2367,106,123,118,113,100,129,137,139,164,183,151,158,182,161,170,130,48,42,10,3,0
014,2,2025H2,2272,94,111,110,130,98,91,127,128,134,152,141,175,155,170,174,108,79,63,21,10,1
015,0,2025H2,3988,146,188,196,210,193,205,208,212,297,354,310,234,244,318,294,176,121,57,20,3,2
015,1,2025H2,1994,80,92,91,101,102,97,114,107,167,190,164,122,119,144,145,80,51,21,7,0,0
015,2,2025H2,1994,66,96,105,109,91,108,94,105,130,164,146,112,125,174,149,96,70,36,13,3,2
016,0,2025H2,3005,110,127,116,130,131,130,162,172,188,213,204,248,240,253,237,126,111,59,42,5,1
016,1,2025H2,1493,54,58,45,59,72,74,82,94,102,117,97,132,124,125,128,60,42,17,9,2,0
016,2,2025H2,1512,56,69,71,71,59,56,80,78,86,96,107,116,116,128,109,66,69,42,33,3,1
017,0,2025H2,14196,626,685,721,738,624,653,705,928,983,1098,904,927,1096,1086,982,664,359,265,128,21,3
017,1,2025H2,7220,324,339,387,402,312,335,363,499,538,617,484,460,523,554,487,298,163,90,41,3,1
017,2,2025H2,6976,302,346,334,336,312,318,342,429,445,481,420,467,573,532,495,366,196,175,87,18,2
018,0,2025H2,2660,103,124,143,141,123,140,138,174,196,219,208,173,205,193,171,97,60,40,10,2,0
018,1,2025H2,1355,57,60,79,75,65,75,71,89,97,119,100,91,103,101,95,48,17,10,3,0,0
018,2,2025H2,1305,46,64,64,66,58,65,67,85,99,100,108,82,102,92,76,49,43,30,7,2,0
019,0,2025H2,4297,189,220,211,223,145,189,214,309,341,359,286,307,352,280,261,175,92,97,40,6,1
019,1,2025H2,2234,99,109,121,111,87,102,108,166,181,195,168,159,176,163,117,93,34,28,15,2,0
019,2,2025H2,2063,90,111,90,112,58,87,106,143,160,164,118,148,176,117,144,82,58,69,25,4,1
