Občina,Leto,Površina (km2) - 1. januar,Število prebivalcev - 1. januar,Število prebivalcev - 1. julij,Število moških - 1. januar,Število moških - 1. julij,Število žensk - 1. januar,Število žensk - 1. julij,Delež prebivalcev starih 0 do 14 let - 1. januar,"Delež prebivalcev, starih 15 do 64 let - 1. januar",Delež prebivalcev starih 65 let ali več - 1. januar,Gostota naseljenosti - 1. januar,Gostota naseljenosti - 1. julij,Naravni prirast,Skupni prirast,Število živorojenih,Živorojeni (na 1.000 prebivalcev),Število umrlih,Umrli (na 1.000 prebivalcev),Naravni prirast (na 1.000 prebivalcev),Skupni selitveni prirast (na 1.000 prebivalcev),Skupni prirast (na 1.000 prebivalcev),Povprečna starost prebivalcev - 1. januar,Povprečna starost prebivalcev - 1. julij,Indeks staranja - 1. januar,Indeks staranja - 1. julij,Indeks staranja za moške - 1. januar,Indeks staranja za moške - 1. julij,Indeks staranja za ženske - 1. januar,Indeks staranja za ženske - 1. julij,Število vrtcev,Število otrok v vrtcih (po izvajalcu predšolske vzgoje),"Vključenost otrok v vrtce (% med vsemi otroki, starimi 1-5)",Število šol,Število učencev v osnovnih šolah,Število dijakov (po prebivališču),Število študentov (po prebivališču),Število študentov (na 1.000 prebivalcev),Število diplomantov (na 1.000 prebivalcev),Število delovno aktivnih prebivalcev (po prebivališču),Število delovno aktivnih prebivalcev (po delovnem mestu),Število zaposlenih oseb (po delovnem mestu),Število samozaposlenih oseb (po delovnem mestu),Stopnja delovne aktivnosti (%),Povprečna mesečna bruto plača na zaposleno osebo (EUR),Povprečna mesečna neto plača na zaposleno osebo (EUR),"Povprečna mesečna bruto plača (indeks, SI=100)","Povprečna mesečna neto plača (indeks, SI=100)",Število podjetij,Prihodek podjetij (1.000 EUR),Število stanovanj - 1. januar,Število stanovanj (na 1.000 prebivalcev),Tri- ali več sobna stanovanja (% med vsemi stanovanji),Povprečna uporabna površina stanovanj (m2),Število osebnih avtomobilov - 31. december,Število osebnih avtomobilov (na 1.000 prebivalcev) - 31. december,Povprečna starost osebnih avtomobilov (leta) - 31. december,"Komunalni odpadki, zbrani z javnim odvozom (tone)","Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)"
001,2025,...,19895,19930,10242,10243,9653,9687,16.9,61.9,21.2,...,...,...,...,...,...,...,...,...,...,...,43.3,43.4,125.6,128.1,111.5,113.6,140.5,143.5,9,783,...,...,...,...,...,...,...,9127,8204,7162,1042,...,2394.71,1529.24,94.4,95.5,...,...,...,...,...,...,13415,...,...,...,...
002,2025,...,8129,8075,4137,4096,3992,3979,13.5,63.9,22.5,...,...,...,...,...,...,...,...,...,...,...,45.3,45.5,166.4,171.7,136.4,142.2,202.6,206.9,6,269,...,...,...,...,...,...,...,3340,1370,1097,273,...,2263.77,1456.40,89.3,90.9,...,...,...,...,...,...,4761,...,...,...,...
003,2025,...,8154,8121,4073,4059,4081,4062,13.2,60.6,26.2,...,...,...,...,...,...,...,...,...,...,...,46.9,47.1,197.9,204.6,158.2,163.3,243.8,252.4,2,250,...,...,...,...,...,...,...,3516,3262,2698,565,...,2381.44,1515.37,93.9,94.6,...,...,...,...,...,...,4816,...,...,...,...
004,2025,...,5238,5194,2634,2610,2604,2584,14.1,59.8,26.1,...,...,...,...,...,...,...,...,...,...,...,46.5,46.7,184.7,190.0,161.9,166.9,208.9,214.1,1,185,...,...,...,...,...,...,...,2211,1638,1178,460,...,2121.58,1368.80,83.7,85.4,...,...,...,...,...,...,3062,...,...,...,...
005,2025,...,4706,4704,2405,2410,2301,2294,17.7,62.5,19.7,...,...,...,...,...,...,...,...,...,...,...,42.1,42.2,111.1,114.9,107.6,110.0,114.7,120.0,1,209,...,...,...,...,...,...,...,2133,914,716,199,...,2261.68,1428.24,89.2,89.2,...,...,...,...,...,...,2643,...,...,...,...
006,2025,...,3004,3020,1505,1522,1499,1498,10.6,60.2,29.3,...,...,...,...,...,...,...,...,...,...,...,49.3,49.4,277.6,286.5,244.5,254.9,313.1,320.7,1,74,...,...,...,...,...,...,...,1279,1325,1108,218,...,2157.14,1386.97,85.1,86.6,...,...,...,...,...,...,1936,...,...,...,...
007,2025,...,5584,5547,2789,2768,2795,2779,14.0,60.4,25.6,...,...,...,...,...,...,...,...,...,...,...,46.5,46.7,182.0,186.6,164.1,170.0,200.0,203.1,3,182,...,...,...,...,...,...,...,2331,1191,702,489,...,2158.05,1388.84,85.1,86.7,...,...,...,...,...,...,4101,...,...,...,...
008,2025,...,13133,13129,6487,6503,6646,6626,16.5,64.5,19.0,...,...,...,...,...,...,...,...,...,...,...,42.6,42.7,115.3,118.8,94.9,98.1,137.7,141.7,8,517,...,...,...,...,...,...,...,6010,3907,3203,704,...,2355.09,1496.96,92.9,93.4,...,...,...,...,...,...,7800,...,...,...,...
009,2025,...,24402,24387,12328,12298,12074,12089,13.6,62.1,24.2,...,...,...,...,...,...,...,...,...,...,...,45.9,46.0,177.7,179.7,146.7,147.6,212.3,215.8,10,844,...,...,...,...,...,...,...,10871,7504,6372,1132,...,2360.25,1497.63,93.1,93.5,...,...,...,...,...,...,15362,...,...,...,...
010,2025,...,3905,3927,1962,1978,1943,1949,12.7,64.4,22.8,...,...,...,...,...,...,...,...,...,...,...,46.1,46.1,179.5,178.2,146.8,148.5,216.8,212.3,2,122,...,...,...,...,...,...,...,1535,483,304,179,...,2180.50,1401.07,86.0,87.5,...,...,...,...,...,...,2459,...,...,...,...
