Občina,Leto,Povprečna mesečna bruto plača (EUR),Povprečna mesečna neto plača (EUR),Indeks povprečne mesečne bruto plače,Indeks povprečne mesečne neto plače,Povprečna plača za plačano naduro (EUR),Povprečna mesečna bruto plača za plačano uro (EUR),Povprečna mesečna neto plača za plačano uro (EUR),Indeks povprečne mesečne bruto plače za plačano uro,Indeks povprečne mesečne neto plače za plačano uro,"Zaposlene osebe z izplačanimi nadurami, med vsemi zaposlenimi osebami v občini (%)"
001,2025,2394.71,1529.24,94.4,95.5,17.65,14.00,8.94,106.5,105.4,18.5
002,2025,2263.77,1456.40,89.3,90.9,12.41,13.30,8.56,107.1,106.3,11.4
003,2025,2381.44,1515.37,93.9,94.6,22.07,14.03,8.93,104.9,104.0,13.9
004,2025,2121.58,1368.80,83.7,85.4,14.16,12.72,8.21,109.4,107.8,11.5
005,2025,2261.68,1428.24,89.2,89.2,13.64,13.67,8.63,105.0,104.2,10.3
006,2025,2157.14,1386.97,85.1,86.6,16.16,13.06,8.40,104.5,103.2,11.5
007,2025,2158.05,1388.84,85.1,86.7,14.75,12.92,8.32,104.6,103.7,7.5
008,2025,2355.09,1496.96,92.9,93.4,14.24,14.11,8.97,108.1,107.1,7.7
009,2025,2360.25,1497.63,93.1,93.5,22.84,13.86,8.79,107.7,106.7,15.4
010,2025,2180.50,1401.07,86.0,87.5,13.75,13.17,8.46,104.7,103.8,10.2
011,2025,2448.39,1554.18,96.5,97.0,22.49,14.37,9.12,106.5,105.3,14.8
012,2025,2720.29,1696.14,107.3,105.9,16.36,16.02,9.99,103.0,102.4,9.9
013,2025,2114.80,1369.45,83.4,85.5,17.66,12.54,8.12,107.6,106.3,14.9
014,2025,1909.00,1248.99,75.3,78.0,14.50,11.56,7.56,103.6,103.1,2.4
015,2025,2333.43,1481.66,92.0,92.5,16.88,13.86,8.80,108.2,107.1,5.3
016,2025,2373.99,1515.44,93.6,94.6,16.93,14.25,9.10,106.0,105.0,18.8
017,2025,2171.27,1392.17,85.6,86.9,15.91,12.73,8.16,107.5,106.3,21.1
018,2025,2187.52,1411.91,86.3,88.1,16.51,13.21,8.52,113.9,112.6,2.6
019,2025,2300.60,1468.69,90.7,91.7,14.14,13.62,8.70,106.8,106.0,12.2
020,2025,2059.09,1332.20,81.2,83.2,12.80,12.37,8.01,108.1,107.1,20.1
021,2025,2184.26,1408.07,86.1,87.9,15.20,13.17,8.49,106.1,105.2,10.6
022,2025,2712.43,1719.73,107.0,107.3,16.77,15.74,9.98,103.5,102.6,10.9
023,2025,2285.32,1463.78,90.1,91.4,15.94,13.56,8.68,105.8,104.6,13.9
024,2025,2464.53,1570.94,97.2,98.1,15.97,14.57,9.29,111.8,110.3,7.2
025,2025,2211.99,1409.99,87.2,88.0,13.91,13.04,8.31,105.7,104.8,21.3
026,2025,2120.89,1376.34,83.6,85.9,14.12,12.47,8.10,108.2,107.2,13.9
027,2025,2358.40,1509.00,93.0,94.2,16.06,14.08,9.01,106.1,105.2,7.8
028,2025,1991.61,1283.40,78.5,80.1,12.18,11.68,7.53,105.2,104.5,20.4
029,2025,2257.23,1440.03,89.0,89.9,16.98,13.27,8.46,105.8,104.6,14.8
030,2025,1972.16,1288.14,77.8,80.4,12.85,12.05,7.87,108.8,107.3,11.2
031,2025,2158.36,1393.30,85.1,87.0,13.82,12.90,8.33,111.2,109.7,13.0
032,2025,2281.40,1458.58,90.0,91.0,14.96,13.37,8.55,103.2,102.6,14.4
033,2025,1867.84,1226.41,73.7,76.6,13.59,11.23,7.38,105.1,104.0,13.5
034,2025,2337.93,1487.46,92.2,92.8,15.51,13.74,8.74,104.3,103.4,22.9
